"","ID","X..of.Rep.","UT.Date...Time","Local.Date...Time","Countries","States","D..Sound","C..Sound","Frag"
"4910","Event 5340-2018","16","2018-12-03 22:19 UT","2018-12-03 22:19								GMT","GB","England, Wales","15 no","15 no","1 yes 
											
																															
												 8 no"
"5010","Event 5435-2018","2","2018-12-03 21:01 UT","2018-12-03 21:01								GMT","GB 
										
									    
																			IE","County Laois, England","2 no","2 no","1 yes 
											
																															
												 1 no"
"5110","Event 5434-2018","1","2018-12-03 19:15 UT","2018-12-03 19:15								GMT","GB","England","1 no","1 no","1 no"
"250","Event 5343-2018","3","2018-12-03 18:00 UT","2018-12-03 18:00								GMT","GB","England, Wales","2 no","2 no","1 no"
"350","Event 5433-2018","2","2018-12-03 17:09 UT","2018-12-03 18:09								CET","FR","Occitanie","2 no","2 no","2 no"
"450","Event 5432-2018","1","2018-12-03 16:35 UT","2018-12-03 17:35								CET","FR","Bretagne","1 no","1 no","n/a"
"521","Event 5431-2018","1","2018-12-03 13:42 UT","2018-12-03 05:42								PST","US","CA","1 no","1 no","1 no"
"611","Event 5430-2018","1","2018-12-03 10:18 UT","2018-12-03 05:18								EST","US","FL","1 no","1 no","1 no"
"711","Event 5429-2018","2","2018-12-03 08:21 UT","2018-12-03 08:21								GMT","GB","Scotland","2 no","2 no","1 no"
"811","Event 5428-2018","1","2018-12-03 07:55 UT","2018-12-03 08:55								CET","FR","Auvergne-Rhône-Alpes","n/a","n/a","1 no"
"911","Event 5427-2018","1","2018-12-03 07:05 UT","2018-12-03 01:05								CST","US","TX","1 no","1 no","n/a"
"1011","Event 5426-2018","1","2018-12-03 07:02 UT","2018-12-03 07:02								GMT","IE","County Cork","n/a","n/a","1 no"
"1111","Event 5425-2018","1","2018-12-03 07:00 UT","2018-12-02 23:00								PST","US","WA","1 no","1 no","1 no"
"1211","Event 5352-2018","5","2018-12-03 06:23 UT","2018-12-02 22:23								PST","US","CA","5 no","5 no","1 yes"
"1311","Event 5424-2018","2","2018-12-03 04:56 UT","2018-12-02 20:56								PST","US","OR","2 no","2 no","2 no"
"1411","Event 5423-2018","2","2018-12-03 04:42 UT","2018-12-02 22:42								CST","US","LA, TX","2 no","2 no","n/a"
"1511","Event 5422-2018","1","2018-12-03 04:30 UT","2018-12-02 22:30								CST","US","MS","1 no","1 no","1 yes"
"1611","Event 5421-2018","2","2018-12-03 04:15 UT","2018-12-02 20:15								PST","US","WA","2 no","2 no","1 no"
"1711","Event 5420-2018","2","2018-12-03 04:03 UT","2018-12-02 21:03								MST","US","NM","1 no","2 no","1 yes"
"1811","Event 5419-2018","1","2018-12-03 03:36 UT","2018-12-03 03:36								GMT","GB","England","1 no","1 no","1 no"
"1911","Event 5418-2018","1","2018-12-03 01:58 UT","2018-12-02 20:58								EST","US","NC","1 no","1 no","1 no"
